algorithm,test_score,mean_absolute_error,std_dev_mae
Linear Regression,0.820882389889349,6507995.678312036,104488086.6826284
SVM,0.9092623091458731,0.5235155275565997,1.050800884204941
Random Forest,0.9580113737272935,0.5345402455921795,0.9569261486466228
Linear Regression,0.820882389889349,0.62786563534451,17279829.54486332
Support Vector Regression,0.9092623091458731,0.22063670707492294,0.15032819357164842
Random Forest,0.9596885553053893,0.2129336328438464,0.1298360058578479
Linear Regression,0.820882389889349,0.62786563534451,17279829.54486332
Support Vector Regression,0.9092623091458731,0.22063670707492294,0.15032819357164842
Random Forest,0.9596885553053893,0.2129336328438464,0.1298360058578479
